category,total_spend,YYYY
Child In Care Agency Fostering,28659011.2399995,2013
Permanent Teachers,73306.38,2012
Highway Traffic Signals and Systems Accident Damage,20396.78,2014
Traffic Signals and Systems Energy,105899.82,2014
Long Term Residential Care,182570772.959997,2011
Construction Costs-Mobile Classrooms,2529744.26,2013
Short Term Care with Nursing,280182.14,2012
Personal Budget - Long Term Residential Care,22139.6,2014
Land Agents Fees,8620.4,2014
Other Expenses,173072.48,2013
Agency Staff - Supply Teachers,531511.02,2013
Transfer or Contribution to Earmarked Reserves,15100,2014
Structural Building Work,912161.1,2011
Grounds Maintenance Costs,1521143.2,2011
Book Stationery,1516.62,2012
Bmf Fencing,4849.32,2012
Compensation Loss of Office,55000,2012
Contract Taxi Hire,71519.24,2012
Highway Patching to Carriageway,3666180.52,2013
Agency Staff - Permanent Teachers,63080.84,2012
Highway Winter Salt Barn Availability Charge under PFI,839836.119999998,2011
Highway Gritting Bleeding Roads,4008,2013
Highway Drainage Rodding and Jetting,873180.68,2012
Construction Costs - Roads,34540537.36,2011
Other Hired & Contracted Services,9023015.34,2012
Traffic Signals and Systems Outstation Communication Maint.,47422.76,2014
Audit Fees - Other,22225.64,2013
Enquiry Agents Fees,30565.96,2011
Sessional Fees,1793533.68,2012
Road Fund Licence,110,2011
Hospitality Expenses,88080.36,2011
Building / Planning Applications,472151.48,2014
Hired & Contracted Services-Software,6357,2011
Child In Care Secure Welfare,0,2012
Contract Cleaning & Other Cleaning Services,59149.08,2013
Bmf Electrical & Mechanical Maintenance,134658.86,2013
Legal Expenses Land,227478.6,2013
Interest,29600,2011
Highway Surveys Footways/Cycleways,92269.18,2013
Custody Fees,220917.34,2013
Security Systems,284925.6,2012
Bedding & Linen,2098.6,2011
Fire Service Radio Equipment - Purchase,16936.24,2011
Bmf Lifts Maintenance & Repairs,31819.38,2013
External Redecoration,930850.4,2012
Bmpp External Redecoration,168665.04,2012
Injury Element Of Injured Retained Firemen,4034.34,2012
Consultants Design Fees,20006.58,2013
Highway Routine Maintenance Up Front Charge,336,2013
Property Services DSO Charges,1726586.82,2011
Service Level Agreement With Organisations Providing Services to NCC,19513885.5,2012
Road Fund Driving & Operators Licences,23908.36,2011
