supplier_name,org_type,total_spend,YYYY
HILLSIDE COMMERCIAL LIMITED,SMALL BUSINESS,227571.98,2011
ALPHA NURSERIES LTD,SMALL BUSINESS,8000,2011
M. GAZE & CO. LIMITED,MEDIUM / LARGE,25260.9,2012
CARING HOMES HEALTHCARE LIMITED,MEDIUM / LARGE,1576831.74,2011
COUNTRY GROUNDS MAINTENANCE LIMITED,SMALL BUSINESS,34195.98,2012
NORFOLK FOOD FESTIVAL LIMITED,NOT DEFINED,40000,2012
ONE TO ONE HOMECARE LIMITED,,1668283.28,2012
NORWICH CONSOLIDATED CHARITIES,CHARITY,41752.88,2014
ALLIED MECHANICAL SERVICES LIMITED,SMALL BUSINESS,20400.96,2012
HERTS FOR LEARNING LIMITED,NOT DEFINED,101.18,2014
BRANAS ISAF PERSONAL DEVELOPMENT CENTRE LIMITED,MEDIUM / LARGE,108000,2013
BURLINGHAM HOUSE LIMITED,NOT DEFINED,724230.02,2011
BRANAS ISAF (ASHFIELD HOUSE) LIMITED,MEDIUM / LARGE,820288.24,2011
BOLD DIRECTORIES LIMITED,SMALL BUSINESS,1920,2012
MID SUFFOLK DISTRICT COUNCIL,,840,2012
ENTERPRISE RENT-A-CAR UK LIMITED,MEDIUM / LARGE,25986.64,2014
GAGE TECHNIQUE INTERNATIONAL LIMITED,MEDIUM / LARGE,1913.5,2011
FREIGHT TRANSPORT ASSOCIATION LIMITED,MEDIUM / LARGE,8060.86,2011
XLVET TRAINING SERVICES LIMITED,SMALL BUSINESS,27902.38,2012
JACKSON CIVIL ENGINEERING GROUP LIMITED,MEDIUM / LARGE,265736.72,2013
SMS ABACUS & CO LTD,SMALL BUSINESS,4535.56,2013
LANGLEY SCHOOL (1960) LIMITED,MEDIUM / LARGE,26132,2014
M. & K. COMMERCIALS LIMITED,SMALL BUSINESS,26832.56,2011
MERIDIAN LAW LIMITED,MEDIUM / LARGE,3970,2011
A1 CARS (BIRMINGHAM) LTD,NOT DEFINED,53463.6,2012
SHOULDHAM HALL LIMITED,MEDIUM / LARGE,86594.3,2014
H.B.S. FARMS (1995) LIMITED,SMALL BUSINESS,52821.76,2011
JMS GROUP LTD,SMALL BUSINESS,55900,2012
POWERSENSE TECHNOLOGY LIMITED,SMALL BUSINESS,1700,2011
ROCC COMPUTERS LIMITED,MEDIUM / LARGE,55390,2012
VISIT EAST ANGLIA LIMITED,SMALL BUSINESS,40000,2014
COMMUNITY HEALTH CARE,,3497724.90000001,2011
SALLY RUNDELL LTD,NOT DEFINED,8680.8,2013
ZEP UK LIMITED,MEDIUM / LARGE,6188.32,2013
HEYWOOD LIMITED,MEDIUM / LARGE,396623.74,2014
ANTEROS LLP,MEDIUM / LARGE,7240.56,2012
TOGETHER 4 ALL LIMITED,MEDIUM / LARGE,92235.38,2011
NJE TAXIS LIMITED,SMALL BUSINESS,328265.04,2012
SPACE 01 LIMITED,NOT DEFINED,7150.4,2012
REAL PROJECT MANAGEMENT LIMITED,SMALL BUSINESS,1000,2013
JOLLIFFE DAKING LLP,SMALL BUSINESS,4100,2011
NR11 GROUNDWORKS & CIVIL ENGINEERING LTD,SMALL BUSINESS,32896.62,2013
T FARROW CONSTRUCTION LIMITED,SMALL BUSINESS,89357.12,2014
NORTHERN TRUST GLOBAL SERVICES LIMITED,MEDIUM / LARGE,1152.6,2014
STANGER TESTING SERVICES LIMITED,SMALL BUSINESS,1520,2011
NEW BEGINNINGS (WISBECH) LTD,SMALL BUSINESS,20228.64,2014
G S D LAMBERT & SONS LIMITED,SMALL BUSINESS,6960,2012
PCP (LUTON) LIMITED,SMALL BUSINESS,9520,2014
GRYPHON PLACE,,28576.58,2014
SUPPLY 999 LIMITED,NOT DEFINED,2039.3,2011
ANGLIA FOSTERING AGENCY LIMITED,SMALL BUSINESS,1676706.38,2014
ERSHAM HOUSE NURSING HOME,,41115.72,2012
NPS GROUP LIMITED,SMALL BUSINESS,71287.14,2013
GEMCO SERVICE LIMITED,MEDIUM / LARGE,10833.68,2013
INGHAM HEALTHCARE LIMITED,SMALL BUSINESS,149529.42,2014
ULTRA SUPPRESSION SYSTEMS LIMITED,NOT DEFINED,7900,2012
WILDLIFE WORKS CARBON (UK) LIMITED,NOT DEFINED,15931.94,2013
G M - C VEHICLE COMMUNICATIONS LIMITED,SMALL BUSINESS,95681.38,2011
D. A. GRIGGS DECORATORS LIMITED,SMALL BUSINESS,28477.38,2011
AMEY LIGHTING (NORFOLK) LIMITED,MEDIUM / LARGE,11807902.06,2012
S.HARRISON & CO LTD,,5760,2014
L.G.PERFECT(HAULAGE)LIMITED,SMALL BUSINESS,12992.1,2011
VIRGIN MEDIA LIMITED,MEDIUM / LARGE,142199.32,2014
KISIMUL GROUP LIMITED,MEDIUM / LARGE,111972.8,2011
ABRONAH CARE LIMITED,SMALL BUSINESS,214500,2014
THE ROYAL SURGICAL AID SOCIETY,CHARITY,22330.88,2014
STL TECHNOLOGIES LIMITED,MEDIUM / LARGE,13506.16,2011
4CHILDREN (TRADING) LIMITED,MEDIUM / LARGE,308013.54,2014
O.R.M. NORTH NORFOLK LIMITED,SMALL BUSINESS,5211.44,2012
SPECIALISED ORTHOTIC SERVICES LIMITED,SMALL BUSINESS,10315.3,2011
