category,date,total_spend,YYYY,MM
Certificate - Environment Control Systems,2012-12-01,16960.92,2012,12
Alterations To Service - Other,2014-02-01,1155,2014,2
Non Staff Public Transport Costs,2013-11-01,823752.69,2013,11
Electrical Installation Testing,2012-07-01,10772.54,2012,7
Certificate - Electricity Power & Light,2013-02-01,60121.51,2013,2
Personal Budget - Day Care,2014-02-01,137932.41,2014,2
Enquiry Agents Fees,2012-02-01,992.24,2012,2
Domiciliary Care,2013-12-01,1093129.75,2013,12
Child In Care Residential Home Out Of Norfolk,2013-09-01,439678.88,2013,9
Direct Payment - Supporting Families with Disabilities -Domiciliary Care,2012-08-01,727.24,2012,8
Highway Patching to Footway,2012-11-01,73709.93,2012,11
Direct Payment - Equipment Purchases,2012-01-01,2157.5,2012,1
Bmf Security Systems,2012-11-01,10665.17,2012,11
Other Hired & Contracted Services,2011-06-01,804163.31,2011,6
Staff Training Costs,2012-07-01,44365.13,2012,7
Marketing Design Costs,2012-09-01,18794,2012,9
Staff Advertising  Expenses,2013-07-01,3662.1,2013,7
Highway Weed spraying,2014-02-01,24343.13,2014,2
Foster Parents Payments,2013-03-01,150995.44,2013,3
Long Term Residential Care,2011-12-01,15698286.79,2011,12
Vehicle Insurance,2013-09-01,-2156,2013,9
Construction Costs - Roads,2012-02-01,919991.01,2012,2
Non Staff Advertising - Statutory,2012-09-01,1205.13,2012,9
ICT Other Running Costs,2014-08-01,1021587.26,2014,8
Purchase Of Major Software,2012-10-01,3552.27,2012,10
Office Equipment & Supplies,2013-05-01,11231.52,2013,5
Fees & Charges,2014-03-01,780501.97,2014,3
Swimming Pool Maintenance,2012-05-01,2676.08,2012,5
Vandalism Under 500,2011-04-01,2062.45,2011,4
Telephone Rental & Calls,2013-10-01,133737.02,2013,10
Local Land Charges Fees,2014-04-01,1552.09,2014,4
Books and Publications,2013-05-01,760.5,2013,5
Water and Sewerage Costs,2013-06-01,16803.77,2013,6
Road Maintenance Contractor Payments,2013-10-01,88581.52,2013,10
