category,date_calculated,sum,YYYY,exmonth
Accommodation buildings and structures,2011-08-01,46440.16,2011,8
Accommodation buildings and structures,2013-03-01,68249.72,2013,3
Accommodation buildings and structures,2013-12-01,604,2013,12
Accommodation buildings and structures,2011-06-01,48025.16,2011,6
Accommodation buildings and structures,2013-02-01,75599.72,2013,2
Accommodation buildings and structures,2011-12-01,86645.32,2011,12
Accommodation buildings and structures,2014-01-01,4285,2014,1
Accommodation buildings and structures,2011-03-01,38837.73,2011,3
Accommodation buildings and structures,2012-02-01,45835.16,2012,2
Accommodation buildings and structures,2011-09-01,45980.16,2011,9
Accommodation buildings and structures,2014-12-01,207341.61,2014,12
Accommodation buildings and structures,2011-07-01,48893.16,2011,7
Accommodation buildings and structures,2012-09-01,60801.54,2012,9
Accommodation buildings and structures,2014-11-01,190203.61,2014,11
Accommodation buildings and structures,2011-05-01,45952.16,2011,5
Accommodation buildings and structures,2012-10-01,60396.54,2012,10
Accommodation buildings and structures,2011-10-01,47655.16,2011,10
Accommodation buildings and structures,2012-04-01,61050.75,2012,4
Accommodation buildings and structures,2012-12-01,59036.32,2012,12
Accommodation buildings and structures,2012-01-01,122925.87,2012,1
Accommodation buildings and structures,2011-02-01,42916.16,2011,2
Accommodation buildings and structures,2012-08-01,57640.57,2012,8
Accommodation buildings and structures,2012-05-01,57789.46,2012,5
Accommodation buildings and structures,2011-11-01,47665.16,2011,11
Accommodation buildings and structures,2012-07-01,53364.32,2012,7
Accommodation buildings and structures,2013-01-01,99648.27,2013,1
Accommodation buildings and structures,2012-11-01,116972.64,2012,11
Accommodation buildings and structures,2014-10-01,340309.44,2014,10
Accommodation buildings and structures,2014-03-01,8480,2014,3
Accommodation buildings and structures,2012-06-01,104799.32,2012,6
Accommodation buildings and structures,2011-01-01,45466.16,2011,1
Accommodation buildings and structures,2011-04-01,60869.02,2011,4
Accommodation buildings and structures,2012-03-01,47646.82,2012,3
Accounting services,2012-07-01,1000,2012,7
Accounting services,2011-11-01,4114,2011,11
Accounting services,2013-01-01,3765,2013,1
Accounting services,2012-11-01,12440,2012,11
Accounting services,2011-01-01,4692,2011,1
Accounting services,2011-04-01,14425.5,2011,4
Accounting services,2011-05-01,16928.53,2011,5
Accounting services,2011-10-01,3100,2011,10
Accounting services,2012-10-01,14630,2012,10
Accounting services,2012-12-01,6109,2012,12
Accounting services,2012-04-01,5290,2012,4
Accounting services,2012-01-01,3030,2012,1
Accounting services,2011-02-01,30270.24,2011,2
Accounting services,2011-06-01,3860,2011,6
Accounting services,2011-12-01,1620,2011,12
Accounting services,2012-02-01,4270,2012,2
Accounting services,2011-03-01,2060,2011,3
Accounting services,2011-09-01,2745,2011,9
Accounting services,2011-07-01,5845,2011,7
Accounting services,2012-03-01,3765,2012,3
Accounting services,2011-08-01,5454,2011,8
Accounting services,2013-03-01,8960,2013,3
Advertising agency services,2012-02-01,9777.17,2012,2
Advertising agency services,2013-02-01,55816.67,2013,2
Advertising agency services,2013-11-01,4420,2013,11
Advertising agency services,2011-12-01,22521.2,2011,12
Advertising agency services,2011-06-01,24970.12,2011,6
Advertising agency services,2011-07-01,31196,2011,7
Advertising agency services,2012-09-01,20780,2012,9
Advertising agency services,2013-07-01,5860,2013,7
Advertising agency services,2014-12-01,56380.39,2014,12
Advertising agency services,2011-09-01,3993,2011,9
Advertising agency services,2011-08-01,5455,2011,8
Advertising agency services,2012-03-01,36904.81,2012,3
Advertising agency services,2013-12-01,47396.2,2013,12
Advertising agency services,2013-03-01,5291.15,2013,3
Advertising agency services,2013-09-01,6300,2013,9
Advertising agency services,2013-05-01,13790.99,2013,5
Advertising agency services,2012-11-01,67146.74,2012,11
Advertising agency services,2014-10-01,3916.29,2014,10
Advertising agency services,2013-01-01,38788.91,2013,1
Advertising agency services,2011-11-01,9200,2011,11
Advertising agency services,2012-07-01,18129,2012,7
Advertising agency services,2011-04-01,3161,2011,4
Advertising agency services,2013-06-01,4320,2013,6
Advertising agency services,2011-01-01,5940,2011,1
Advertising agency services,2012-06-01,2561,2012,6
Advertising agency services,2014-03-01,5875.57,2014,3
Advertising agency services,2012-04-01,15612,2012,4
Advertising agency services,2012-12-01,25479.51,2012,12
Advertising agency services,2012-10-01,6715,2012,10
Advertising agency services,2011-10-01,5306,2011,10
Advertising agency services,2014-11-01,53540.69,2014,11
Advertising agency services,2013-08-01,900,2013,8
Advertising agency services,2012-05-01,11803.5,2012,5
Advertising agency services,2014-02-01,42629.65,2014,2
Advertising agency services,2012-08-01,30602.12,2012,8
Advertising agency services,2013-10-01,11625.71,2013,10
Advertising agency services,2012-01-01,19924,2012,1
Advertising agency services,2011-03-01,1092,2011,3
Advertising agency services,2014-01-01,27351.06,2014,1
Agricultural processing machinery and equipment,2012-03-01,1000,2012,3
Agricultural processing machinery and equipment,2013-03-01,2250,2013,3
Agricultural processing machinery and equipment,2011-06-01,8844.92,2011,6
Agricultural processing machinery and equipment,2012-02-01,1699.6,2012,2
Agricultural processing machinery and equipment,2011-12-01,1978.14,2011,12
Agricultural processing machinery and equipment,2012-09-01,499.44,2012,9
Agricultural processing machinery and equipment,2014-12-01,4900,2014,12
Agricultural processing machinery and equipment,2012-04-01,1250,2012,4
Agricultural processing machinery and equipment,2012-12-01,1000,2012,12
Agricultural processing machinery and equipment,2013-10-01,572.33,2013,10
Agricultural processing machinery and equipment,2012-01-01,1000,2012,1
Agricultural processing machinery and equipment,2011-11-01,1000,2011,11
Agricultural processing machinery and equipment,2012-11-01,1000,2012,11
Agricultural processing machinery and equipment,2013-01-01,1250,2013,1
Agricultural processing machinery and equipment,2012-06-01,976.05,2012,6
Apparel and Luggage and Personal Care Products,2011-08-01,1058.75,2011,8
Apparel and Luggage and Personal Care Products,2013-04-01,8110.7,2013,4
Apparel and Luggage and Personal Care Products,2013-09-01,10512,2013,9
Apparel and Luggage and Personal Care Products,2013-05-01,948.35,2013,5
Apparel and Luggage and Personal Care Products,2011-06-01,1698.25,2011,6
Apparel and Luggage and Personal Care Products,2013-02-01,1333.5,2013,2
Apparel and Luggage and Personal Care Products,2013-11-01,4434.75,2013,11
Apparel and Luggage and Personal Care Products,2011-12-01,3919.73,2011,12
Apparel and Luggage and Personal Care Products,2011-03-01,33772.36,2011,3
Apparel and Luggage and Personal Care Products,2012-02-01,1249.3,2012,2
Apparel and Luggage and Personal Care Products,2011-09-01,3630.6,2011,9
Apparel and Luggage and Personal Care Products,2013-07-01,3029.12,2013,7
Apparel and Luggage and Personal Care Products,2014-12-01,3557.08,2014,12
Apparel and Luggage and Personal Care Products,2011-07-01,3243.63,2011,7
Apparel and Luggage and Personal Care Products,2014-11-01,1345.77,2014,11
Apparel and Luggage and Personal Care Products,2013-08-01,1507.57,2013,8
Apparel and Luggage and Personal Care Products,2011-05-01,1982.55,2011,5
Apparel and Luggage and Personal Care Products,2012-10-01,1078.8,2012,10
Apparel and Luggage and Personal Care Products,2011-10-01,750,2011,10
Apparel and Luggage and Personal Care Products,2012-04-01,1809,2012,4
Apparel and Luggage and Personal Care Products,2012-12-01,4771.83,2012,12
Apparel and Luggage and Personal Care Products,2011-02-01,2869.75,2011,2
Apparel and Luggage and Personal Care Products,2013-10-01,1922.9,2013,10
Apparel and Luggage and Personal Care Products,2012-05-01,1086.08,2012,5
Apparel and Luggage and Personal Care Products,2012-07-01,2016.98,2012,7
Apparel and Luggage and Personal Care Products,2013-01-01,522.75,2013,1
Apparel and Luggage and Personal Care Products,2014-10-01,2923.8,2014,10
Apparel and Luggage and Personal Care Products,2012-11-01,432.07,2012,11
Apparel and Luggage and Personal Care Products,2011-01-01,18868.77,2011,1
Apparel and Luggage and Personal Care Products,2012-06-01,6142.8,2012,6
Apparel and Luggage and Personal Care Products,2011-04-01,10091.93,2011,4
Apparel and Luggage and Personal Care Products,2013-06-01,6604,2013,6
Apparel and Luggage and Personal Care Products,2012-03-01,1744.05,2012,3
Architectural engineering,2013-11-01,8.5,2013,11
Architectural engineering,2012-02-01,391378.42,2012,2
Architectural engineering,2011-03-01,612390.98,2011,3
Architectural engineering,2011-06-01,528695.43,2011,6
Architectural engineering,2013-07-01,5,2013,7
Architectural engineering,2014-12-01,742214.7,2014,12
Architectural engineering,2012-09-01,3242.2,2012,9
Architectural engineering,2011-07-01,528544.18,2011,7
Architectural engineering,2011-09-01,514519.51,2011,9
Architectural engineering,2012-03-01,1851.2,2012,3
Architectural engineering,2011-08-01,518384.38,2011,8
Architectural engineering,2013-09-01,802.5,2013,9
Architectural engineering,2014-10-01,887476.809999999,2014,10
Architectural engineering,2012-11-01,782,2012,11
Architectural engineering,2012-07-01,5595.59,2012,7
Architectural engineering,2011-11-01,508970.69,2011,11
