Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,Contract type,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL,Tender process type,Tender document URL,Contract document URL,Performance information URL,Location service label,Location served URI
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN12005,,Contract for Day Care March 1995 (Incatern Limited),,COMMUNITY SERVICES,,,Contract for Day Care March 1995 (Incatern Limited),Adult care - day care/community support/support into work,,,,,,,,,1567 ,Estimated,,INCATERN LIMITED,gb/02165763,,70063 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN12045,,Contract for Day Care March 1995 (Elizabeth Fitzroy Support),,COMMUNITY SERVICES,,,Contract for Day Care March 1995 (Elizabeth Fitzroy Support),Adult care - day care/community support/support into work,,,,,,,,,1743186 ,Estimated,,FITZROY SUPPORT,,,829788 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42307,,Contract for Day Care March 1995 (Action For Blind People),,COMMUNITY SERVICES,,,Contract for Day Care March 1995 (Action For Blind People),Adult care - day care/community support/support into work,,,,,,,,,,,,ACTION FOR BLIND PEOPLE,,,65919 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42308,,Spot purchased day care for adults (Age UK Norfolk - Denny Centre and Grays Fair Court),,COMMUNITY SERVICES,,,Spot purchased day care for adults (Age UK Norfolk - Denny Centre and Grays Fair Court),Adult care - day care/community support/support into work,,,,,,,,,661338 ,Estimated,,AGE UK NORFOLK,,,404032 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42309,,"Contract for Day Care March 1995 (Camphill, Thornage Hall)",,COMMUNITY SERVICES,,,"Contract for Day Care March 1995 (Camphill, Thornage Hall)",Adult care - day care/community support/support into work,,,,,,,,,1002451 ,Estimated,,CAMPHILL COMMUNITIES THORNBURY LIMITED,00497029,,144386 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43260,,Spot Purchased Day Care For Adults (About With Friends),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (About With Friends),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,462437 ,Estimated,,ABOUT WITH FRIENDS,,,118181 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43261,,Spot Purchased Day Care For Adults (Acle Voluntary Aid),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Acle Voluntary Aid),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,11320 ,Estimated,,ACLE VOLUNTARY AID,,,65895 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43262,,Spot Purchased Day Care For Adults (Adult Community Support),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Adult Community Support),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,17340 ,Estimated,,ADULT COMMUNITY SUPPORT LTD,,,1275779 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43263,,Spot Purchased Day Care For Adults (All Hallows Healthcare Trust - The Day Treatment And Therapy Centre),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (All Hallows Healthcare Trust - The Day Treatment And Therapy Centre),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,178880 ,Estimated,,ALL HALLOWS HEALTHCARE TRUST,,,181481 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43264,,"""Spot Purchased Day Care For Adults (All Hallows Nursing Home(formerly Adele House))""",,COMMUNITY SERVICES,,,"""Spot Purchased Day Care For Adults (All Hallows Nursing Home(formerly Adele House))""",Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,45380 ,Estimated,,ALL HALLOWS HEALTH CARE TRUST,gb/06583647,,181585 ,,Yes,,PART B SERVICES,,,Other,,,,,
