service,date_calculated,total_spend,YYYY,MM
RESOURCES,2011-05-01,1468756.41,2011,5
COMMUNITY SERVICES,2014-05-01,2784162.25000001,2014,5
(No data),2011-09-01,73616.56,2011,9
RESOURCES,2014-11-01,2277290.02,2014,11
CHILDREN'S SERVICES,2014-05-01,124246.86,2014,5
ENVIRONMENT TRANSPORT & DEVELOPMENT,2011-09-01,11582141.91,2011,9
RESOURCES,2013-08-01,158400.2,2013,8
FIRE & RESCUE,2011-09-01,1168823.3,2011,9
CHILDREN'S SERVICES,2011-09-01,9673409.88000003,2011,9
(No data),2014-05-01,6700,2014,5
COMMUNITY SERVICES,2011-09-01,12410823.59,2011,9
RESOURCES,2011-10-01,9562021.04,2011,10
FIRE & RESCUE,2014-05-01,61534.45,2014,5
ENVIRONMENT TRANSPORT & DEVELOPMENT,2014-05-01,239614.19,2014,5
RESOURCES,2012-10-01,1128894.78,2012,10
OTHER INC AGENCY,2011-03-01,2793,2011,3
OTHER INC AGENCY,2014-01-01,2610.05,2014,1
CHILDREN'S SERVICES,2011-07-01,6716649.76999999,2011,7
COMMUNITY SERVICES,2011-07-01,11680403.36,2011,7
ENVIRONMENT TRANSPORT & DEVELOPMENT,2014-12-01,14640639.75,2014,12
(No data),2013-07-01,54202.15,2013,7
FIRE & RESCUE,2014-12-01,510747.96,2014,12
FIRE & RESCUE,2013-07-01,38224.53,2013,7
CHILDREN'S SERVICES,2012-09-01,7780500.21999998,2012,9
(No data),2014-12-01,266923.31,2014,12
COMMUNITY SERVICES,2012-09-01,9101135.71,2012,9
ENVIRONMENT TRANSPORT & DEVELOPMENT,2013-07-01,813306.91,2013,7
OTHER INC AGENCY,2012-02-01,890,2012,2
COMMUNITY SERVICES,2013-07-01,3848892.75000003,2013,7
OTHER INC AGENCY,2013-02-01,6911.34,2013,2
ENVIRONMENT TRANSPORT & DEVELOPMENT,2012-09-01,15262922.91,2012,9
RESOURCES,2012-12-01,1415349.55,2012,12
FIRE & RESCUE,2012-09-01,84337.09,2012,9
CHILDREN'S SERVICES,2013-07-01,1055595.48,2013,7
CHILDREN'S SERVICES,2014-12-01,8216225.00999999,2014,12
(No data),2012-09-01,42716.04,2012,9
COMMUNITY SERVICES,2014-12-01,16793034.1499997,2014,12
RESOURCES,2012-04-01,2401158.45,2012,4
(No data),2011-07-01,151231.18,2011,7
OTHER INC AGENCY,2013-11-01,2057.2,2013,11
OTHER INC AGENCY,2011-12-01,4420.05,2011,12
ENVIRONMENT TRANSPORT & DEVELOPMENT,2011-07-01,8329704.81000001,2011,7
FIRE & RESCUE,2011-07-01,279201.42,2011,7
(No data),2011-06-01,70213.82,2011,6
RESOURCES,2012-01-01,2274149.31,2012,1
ENVIRONMENT TRANSPORT & DEVELOPMENT,2011-06-01,12882462.35,2011,6
FIRE & RESCUE,2011-06-01,265035.01,2011,6
OTHER INC AGENCY,2011-09-01,620,2011,9
RESOURCES - PENSIONS,2013-12-01,159324.5,2013,12
RESOURCES,2012-08-01,1872226.4,2012,8
RESOURCES,2013-10-01,266351.46,2013,10
RESOURCES,2014-04-01,61511.46,2014,4
CHILDREN'S SERVICES,2011-06-01,5718292.38,2011,6
COMMUNITY SERVICES,2011-06-01,14530212.22,2011,6
RESOURCES,2011-02-01,1508418.67,2011,2
(No data),2013-11-01,539665.85,2013,11
COMMUNITY SERVICES,2011-03-01,8504408.21999996,2011,3
(No data),2011-12-01,120631.3,2011,12
COMMUNITY SERVICES,2014-01-01,2372495.15,2014,1
CHILDREN'S SERVICES,2011-03-01,7379001.44999999,2011,3
OTHER INC AGENCY,2011-01-01,4492.5,2011,1
OTHER INC AGENCY,2011-07-01,18181.7,2011,7
CHILDREN'S SERVICES,2014-01-01,1536240.82,2014,1
ENVIRONMENT TRANSPORT & DEVELOPMENT,2011-12-01,10168597.29,2011,12
ENVIRONMENT TRANSPORT & DEVELOPMENT,2013-11-01,1143791.53,2013,11
FIRE & RESCUE,2013-11-01,912509.6,2013,11
FIRE & RESCUE,2011-12-01,794116.74,2011,12
RESOURCES,2012-05-01,1280543.87,2012,5
RESOURCES - PENSIONS,2013-09-01,152465.79,2013,9
RESOURCES,2014-02-01,331369.47,2014,2
(No data),2013-02-01,189556.56,2013,2
RESOURCES - PENSIONS,2013-03-01,135838.33,2013,3
CHILDREN'S SERVICES,2012-02-01,6181195.11000001,2012,2
FIRE & RESCUE,2013-02-01,155911.74,2013,2
OTHER INC AGENCY,2012-09-01,4628.36,2012,9
ENVIRONMENT TRANSPORT & DEVELOPMENT,2013-02-01,9320446.55,2013,2
COMMUNITY SERVICES,2012-02-01,12378472.42,2012,2
ENVIRONMENT TRANSPORT & DEVELOPMENT,2012-02-01,7924689.57,2012,2
OTHER INC AGENCY,2013-07-01,1206.3,2013,7
COMMUNITY SERVICES,2013-02-01,9205559.50000001,2013,2
CHILDREN'S SERVICES,2013-02-01,5821102.71,2013,2
FIRE & RESCUE,2012-02-01,278863.55,2012,2
(No data),2012-02-01,191565.27,2012,2
OTHER INC AGENCY,2014-12-01,363008.77,2014,12
CHILDREN'S SERVICES,2013-11-01,694178.39,2013,11
CHILDREN'S SERVICES,2011-12-01,8310950.43999999,2011,12
COMMUNITY SERVICES,2013-11-01,3791211.08000004,2013,11
(No data),2011-03-01,16204.17,2011,3
COMMUNITY SERVICES,2011-12-01,19317203.6599999,2011,12
(No data),2014-01-01,781990.03,2014,1
FIRE & RESCUE,2011-03-01,333960.52,2011,3
FIRE & RESCUE,2014-01-01,107118.22,2014,1
ENVIRONMENT TRANSPORT & DEVELOPMENT,2014-01-01,665580.44,2014,1
ENVIRONMENT TRANSPORT & DEVELOPMENT,2011-03-01,12891613.25,2011,3
CHILDREN'S SERVICES,2014-08-01,1022669.41,2014,8
COMMUNITY SERVICES,2014-08-01,3317613.43000001,2014,8
RESOURCES,2012-07-01,1141303.48,2012,7
(No data),2013-03-01,77260.67,2013,3
ENVIRONMENT TRANSPORT & DEVELOPMENT,2013-09-01,463913.92,2013,9
CORPORATE RESOURCES,2011-01-01,1843380.12,2011,1
RESOURCES,2011-11-01,2610974.09,2011,11
FIRE & RESCUE,2013-05-01,89949.99,2013,5
ENVIRONMENT TRANSPORT & DEVELOPMENT,2013-04-01,626275.45,2013,4
FIRE & RESCUE,2013-04-01,60411.99,2013,4
FIRE & RESCUE,2013-09-01,25392.83,2013,9
ENVIRONMENT TRANSPORT & DEVELOPMENT,2013-05-01,586049.9,2013,5
(No data),2013-04-01,41031.18,2013,4
OTHER INC AGENCY,2011-08-01,1634.71,2011,8
(No data),2013-09-01,378702.18,2013,9
ENVIRONMENT TRANSPORT & DEVELOPMENT,2013-03-01,11509519.93,2013,3
FIRE & RESCUE,2013-03-01,328249.97,2013,3
(No data),2013-05-01,12287.5,2013,5
CHILDREN'S SERVICES,2013-03-01,6841310.19999999,2013,3
COMMUNITY SERVICES,2013-03-01,8522969.78999998,2013,3
COMMUNITY SERVICES,2013-05-01,3380953.03000001,2013,5
OTHER INC AGENCY,2012-03-01,93.3,2012,3
CHILDREN'S SERVICES,2013-04-01,1605710.5,2013,4
CHILDREN'S SERVICES,2013-09-01,1435244.1,2013,9
COMMUNITY SERVICES,2013-04-01,3555043.40000002,2013,4
CHILDREN'S SERVICES,2013-05-01,715050.99,2013,5
COMMUNITY SERVICES,2013-09-01,3580855.37000003,2013,9
(No data),2014-08-01,45157.68,2014,8
ENVIRONMENT TRANSPORT & DEVELOPMENT,2014-08-01,622033.26,2014,8
FIRE & RESCUE,2014-08-01,285762.14,2014,8
RESOURCES,2013-01-01,1264674.7,2013,1
COMMUNITY SERVICES,2013-12-01,3210566.02000002,2013,12
CHILDREN'S SERVICES,2013-12-01,1908061.65,2013,12
FIRE & RESCUE,2013-12-01,7891.33,2013,12
ENVIRONMENT TRANSPORT & DEVELOPMENT,2013-12-01,570349.02,2013,12
RESOURCES,2012-11-01,1938314.66,2012,11
RESOURCES,2014-10-01,8138865.87,2014,10
(No data),2013-12-01,471467.04,2013,12
OTHER INC AGENCY,2014-08-01,37.37,2014,8
RESOURCES,2014-03-01,128260.27,2014,3
FIRE & RESCUE,2012-03-01,429798.92,2012,3
ENVIRONMENT TRANSPORT & DEVELOPMENT,2012-03-01,12341205.71,2012,3
COMMUNITY SERVICES,2011-08-01,12055475.13,2011,8
(No data),2012-03-01,126997.49,2012,3
CHILDREN'S SERVICES,2011-08-01,8344272.28,2011,8
FIRE & RESCUE,2011-08-01,276038.12,2011,8
RESOURCES - PENSIONS,2012-09-01,127161.21,2012,9
RESOURCES,2011-01-01,2541.89,2011,1
OTHER INC AGENCY,2013-03-01,165.98,2013,3
ENVIRONMENT TRANSPORT & DEVELOPMENT,2011-08-01,13310836.82,2011,8
COMMUNITY SERVICES,2012-03-01,9589787.30999999,2012,3
RESOURCES,2014-07-01,59475.77,2014,7
OTHER INC AGENCY,2013-05-01,24307.48,2013,5
RESOURCES,2014-06-01,98961.25,2014,6
OTHER INC AGENCY,2013-04-01,8853.16,2013,4
(No data),2011-08-01,114183.71,2011,8
CHILDREN'S SERVICES,2012-03-01,6528498.44999998,2012,3
RESOURCES,2012-06-01,1136470.21,2012,6
OTHER INC AGENCY,2013-12-01,505.3,2013,12
RESOURCES,2013-06-01,427661.7,2013,6
RESOURCES,2011-04-01,5820926.71,2011,4
FIRE & RESCUE,2014-03-01,56541.73,2014,3
ENVIRONMENT TRANSPORT & DEVELOPMENT,2014-03-01,1114488.55,2014,3
(No data),2014-03-01,802429.96,2014,3
CHILDREN'S SERVICES,2011-01-01,9108280.01000001,2011,1
COMMUNITY SERVICES,2011-01-01,8089053.96999996,2011,1
CHILDREN'S SERVICES,2014-06-01,148940.38,2014,6
CHILDREN'S SERVICES,2014-07-01,475847.76,2014,7
COMMUNITY SERVICES,2012-06-01,10200650.48,2012,6
COMMUNITY SERVICES,2014-06-01,2473604.17000001,2014,6
CHILDREN'S SERVICES,2012-06-01,5416804.68999999,2012,6
RESOURCES,2012-03-01,2544777.82,2012,3
COMMUNITY SERVICES,2014-07-01,2495984.59000001,2014,7
(No data),2011-01-01,125727.64,2011,1
ENVIRONMENT TRANSPORT & DEVELOPMENT,2014-07-01,605099.98,2014,7
ENVIRONMENT TRANSPORT & DEVELOPMENT,2014-06-01,839876.609999999,2014,6
