YYYY,supplier_name,sum
2011,BT GLOBAL SERVICES LIMITED,10896927.44
2011,FIRST EASTERN COUNTIES BUSES LIMITED,6828309.66
2011,KIER CONSTRUCTION LIMITED,12119327.83
2011,KIER MG LIMITED,45980246.97
2011,NORSE CARE LIMITED,26372094
2011,NORSE COMMERCIAL SERVICES LIMITED,16431458.01
2011,NORSE EASTERN LIMITED,9139898.89
2011,NPS PROPERTY CONSULTANTS LIMITED,6525445.22
2011,PUBLIC WORKS LOANS BOARD,25559064.96
2011,WASTE RECYCLING GROUP (UK) LIMITED,14119547.15
2012,ACADEMY SERVICES (NORWICH) LIMITED,5886127
2012,AMEY LIGHTING (NORFOLK) LIMITED,5903951.03
2012,BALFOUR BEATTY CONSTRUCTION LIMITED,11862945.94
2012,BT GLOBAL SERVICES LIMITED,9908308.6
2012,FCC RECYCLING (UK) LIMITED,9494582.78
2012,FIRST EASTERN COUNTIES BUSES LIMITED,6844683.66
2012,KIER CONSTRUCTION LIMITED,5821502.65
2012,KIER MG LIMITED,54093943.52
2012,THE NATIONAL FOSTERING AGENCY LIMITED,5558849.11000001
2012,WASTE RECYCLING GROUP (UK) LIMITED,6861725.42
2013,AMEY LIGHTING (NORFOLK) LIMITED,2451888.11
2013,BALFOUR BEATTY CONSTRUCTION LIMITED,4921716.42
2013,BT GLOBAL SERVICES LIMITED,3214384.27
2013,EAST COAST COMMUNITY HEALTHCARE C.I.C.,1755461.27
2013,EYRE BUILDING SERVICES GROUP LIMITED,3093563.15
2013,FCC RECYCLING (UK) LIMITED,3573154.79
2013,FIRST EASTERN COUNTIES BUSES LIMITED,1637947.1
2013,HEALTHCARE HOMES GROUP LIMITED,3280468.57
2013,KIER MG LIMITED,13790731.98
2013,MICHELMORES LLP,3600000
2014,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,3268714.19
2014,FCC RECYCLING (UK) LIMITED,3700493.6
2014,INDEPENDENCE MATTERS LTD,12030143.18
2014,NORFOLK ENVIRONMENTAL WASTE SERVICES LIMITED,2705123.15
2014,NORSE CARE LIMITED,6218618.76
2014,NORTH NORFOLK DISTRICT COUNCIL,2458033.14
2014,PUBLIC WORKS LOANS BOARD,12103157.48
2014,R.G. CARTER LIMITED,3964756.6
2014,REDACTED PERSONAL,7575245.91
2014,TARMAC LIMITED,9576702.92
