H|vendor_id|Charities Commission Number|Accounts Date|Income|Spending|dummy_data
D|117560|1094512|31 Mar 2009|320318|359780|x
D|117560|1094512|31 Mar 2008|422747|439149|x
D|117560|1094512|31 Mar 2007|499987|506647|x
D|117560|1094512|31 Mar 2006|473998|340867|x
D|117560|1094512|31 Mar 2005|270063|190889|x
D|68124|1000392|31 Mar 2012|25757000|25721000|x
D|68124|1000392|31 Mar 2011|28327000|23672000|x
D|68124|1000392|31 Mar 2010|30374000|28395000|x
D|68124|1000392|31 Mar 2009|29814000|29605000|x
D|68124|1000392|31 Mar 2008|27828000|28067000|x
F|1
