H|CQC location id|CQC name|Also known as|CQC provider name|CQC provider id|CQC address1|CQC address2|CQC posttown|CQC county|CQC postcode|CQC phone number|CQC services website|CQC service types|CQC specialism/services|activities|CQC local authority area|CQC date of latest check|CQC region|CQC inspection rating|CQC inspection area rating : safe|CQC inspection area rating : effective|CQC inspection area rating : caring|CQC inspection area rating : responsive|CQC inspection area rating : well-led|number of registered beds|CQC date archived|dummy data
D|1-254850934|Amber House||F M S (Scunthorpe) Limited|1-129861621|12 Scawby Road|Broughton|Brigg|Lincolnshire|DN20 0AF|01652657349||['Residential homes']|['Learning disabilities']|['Accommodation for persons who require nursing or personal care']|North Lincolnshire|2015-10-05|Yorkshire & Humberside||Requires improvement|Requires improvement|Requires improvement|Good|Requires improvement|Inadequate|13
D|1-116439860|Queen Alexandra College||Queen Alexandra College|1-101610658|49 Court Oak Road||Birmingham|West Midlands|B17 9TG|01214285025|www.qac.ac.uk|['Residential homes', 'Specialist college service']|['Caring for adults under 65 yrs', 'Caring for children', 'Learning disabilities', 'Mental health conditions', 'Physical disabilities', 'Sensory impairment']|['Personal care', 'Accommodation for persons who require nursing or personal care', 'Treatment of disease, disorder or injury']|Birmingham||West Midlands||No published rating|No published rating|No published rating|No published rating|No published rating|No published rating|51
D|1-114838885|The Vineries||Mrs S A Jesudason|1-101716455|Winterton Road|Hemsby|Great Yarmouth|Norfolk|NR29 4HH|01493732171||['Residential homes']|['Caring for adults over 65 yrs', 'Dementia', 'Physical disabilities']|[]|Norfolk||East||No published rating|No published rating|No published rating|No published rating|No published rating|No published rating|24
D|1-126718252|Manor Care Centre||Halcyon Care Limited|1-101659424|Fen Road|East Kirkby|Spilsby|Lincolnshire|PE23 4DB|01790763381|www.halcyoncare.co.uk|['Residential homes', 'Rehabilitation (illness/injury)']|['Caring for adults over 65 yrs', 'Dementia', 'Mental health conditions']|['Accommodation for persons who require nursing or personal care']|Lincolnshire|2015-07-14|East Midlands||Good|Good|Good|Good|Good|Good|41
D|1-122977887|Ashgrove Residential Care Home||Mrs R Elango & Mr P Elango|1-101623451|64-66 Billet Lane||Hornchurch|Essex|RM11 1XA|01708458834|www.ashgrovecarehome.co.uk|['Residential homes']|['Caring for adults over 65 yrs', 'Dementia']|['Accommodation for persons who require nursing or personal care']|Havering|2015-06-08|London||Requires improvement|Requires improvement|Requires improvement|Good|Good|Requires improvement|26
D|1-126660210|Care Elite||Care Elite Limited|1-101679370|117 Selhurst Road|South Norwood|London||SE25 6LQ|02087716201|www.careelite.co.uk|['Homecare agencies']|['Caring for adults over 65 yrs', 'Dementia', 'Learning disabilities', 'Mental health conditions', 'Physical disabilities', 'Substance misuse problems']|['Personal care']|Croydon|2016-01-19|London||Good|Requires improvement|Good|Good|Good|Good|
D|RGTX7|West Suffolk Hospital||Cambridge University Hospitals NHS Foundation Trust|RGT|Hardwick Lane||Bury St Edmunds|Suffolk|IP33 2QZ|01223245151|www.addenbrookes.nhs.uk|['Hospital']|['Caring for adults over 65 yrs', 'Caring for adults under 65 yrs']|['Treatment of disease, disorder or injury', 'Diagnostic and screening procedures']|Suffolk||East||||||||
D|1-461701361|Fisher Healthcare Ltd||Fisher Healthcare Limited|1-336467745|20 West End Street||Norwich|Norfolk|NR2 4JJ|01603612307|www.fisherhealthcare.co.uk|['Homecare agencies', 'Supported living']|['Caring for adults over 65 yrs', 'Caring for children', 'Dementia', 'Eating disorders', 'Learning disabilities', 'Mental health conditions', 'Physical disabilities', 'Sensory impairment']|['Personal care']|Norfolk||East||No published rating|No published rating|No published rating|No published rating|No published rating|No published rating|
D|1-110441094|Ailwyn Hall||Gastank Limited|1-101674551|Berrys Lane|Honigham|Norwich|Norfolk|NR9 5AY|01603880624||['Residential homes']|['Dementia']|['Accommodation for persons who require nursing or personal care']|Norfolk|2015-02-13|East||Good|Good|Good|Good|Good|Requires improvement|39
D|1-120713772|Phoenix House||Phoenix Care Homes Limited|1-101678422|The Drove|Northbourne|Kent||CT14 0LN|01304379917||['Residential homes', 'Rehabilitation (illness/injury)']|['Caring for adults under 65 yrs', 'Mental health conditions']|['Accommodation for persons who require nursing or personal care']|Kent|2015-12-16|South East||Requires improvement|Requires improvement|Requires improvement|Good|Requires improvement|Requires improvement|24
D|1-114159055|Priory Paddocks Nursing Home||Mr Andrew Burgess and Miss Marian Lloyd|1-101632667|Priory Lane|Darsham|Saxmundham|Suffolk|IP17 3QD|||['Nursing homes']|['Caring for adults over 65 yrs', 'Dementia', 'Physical disabilities']|['Accommodation for persons who require nursing or personal care']|Suffolk|2016-01-07|East||Good|Good|Good|Good|Good|Good|40
