H|vendor_id|ch_num|filing/id|filing/uid|filing/date|filing/title|filing/description|filing/url|filing/filing_type|filing/opencorporates_url|filing/filing_code|dummy_data
D|73585|0270273|251691691|MzEyOTMzOTc4M2FkaXF6a2N4|2015-08-25|Annual Accounts|Full accounts made up to 2014-12-31||Annual Accounts|https://opencorporates.com/statements/251691691|AA|x
D|73585|0270273|251691692|MzEyMzAwMDc3NGFkaXF6a2N4|2015-05-12|Annual Return|Annual return made up to 2015-04-17 with full list of shareholders||Annual Return|https://opencorporates.com/statements/251691692|AR01|x
D|73585|0270273|251691693|MzEwNDQzNDU2MWFkaXF6a2N4|2014-07-30|Annual Accounts|Full accounts made up to 2013-12-31||Annual Accounts|https://opencorporates.com/statements/251691693|AA|x
D|73585|0270273|251691695|MzA5OTQ4NTMwNWFkaXF6a2N4|2014-05-06|Annual Return|Annual return made up to 2014-04-17 with full list of shareholders||Annual Return|https://opencorporates.com/statements/251691695|AR01|x
D|73585|0270273|251691698|MzA5MjgyMTM2OGFkaXF6a2N4|2014-01-17|Termination of appointment of secretary|Termination of appointment of Gerald Daniels as a secretary||Termination of appointment of secretary|https://opencorporates.com/statements/251691698|TM02|x
D|73585|0270273|251691696|MzA5MjgyMTYzNWFkaXF6a2N4|2014-01-17|Appointment of secretary|Appointment of Mr Robert John Alflatt as a secretary||Appointment of secretary|https://opencorporates.com/statements/251691696|AP03|x
D|73585|0270273|251691701|MzA4MzAxNzA3MmFkaXF6a2N4|2013-08-09|Annual Accounts|Accounts made up to 2012-12-31||Annual Accounts|https://opencorporates.com/statements/251691701|AA|x
D|73585|0270273|251691703|MzA3NzYzNDk2MGFkaXF6a2N4|2013-05-08|Annual Return|Annual return made up to 2013-04-17 with full list of shareholders||Annual Return|https://opencorporates.com/statements/251691703|AR01|x
D|73585|0270273|251691706|MzA2Mzc0MjIyMGFkaXF6a2N4|2012-09-07|Second filing of a document previously delivered|Second filing of AP01 previously delivered to Companies House||Second filing of a document previously delivered|https://opencorporates.com/statements/251691706|RP04|x
D|73585|0270273|251691711|MzA1OTg3MzI2MGFkaXF6a2N4|2012-06-27|Annual Accounts|Accounts made up to 2011-12-31||Annual Accounts|https://opencorporates.com/statements/251691711|AA|x
D|73585|0270273|251691714|MzA1NzI1NTgxNWFkaXF6a2N4|2012-05-10|Annual Return|Annual return made up to 2012-04-17 with full list of shareholders||Annual Return|https://opencorporates.com/statements/251691714|AR01|x
D|73585|0270273|251691717|MzA0MTkwMjI4M2FkaXF6a2N4|2011-08-10|Annual Accounts|Accounts made up to 2010-12-31||Annual Accounts|https://opencorporates.com/statements/251691717|AA|x
D|73585|0270273|251691721|MzAzNjc1MzYwMmFkaXF6a2N4|2011-05-07|Annual Return|Annual return made up to 2011-04-17 with full list of shareholders||Annual Return|https://opencorporates.com/statements/251691721|AR01|x
D|73585|0270273|251691724|MzAzNDIxMDM0MWFkaXF6a2N4|2011-03-22|Termination of appointment of director |Termination of appointment of Robert Carter as a director||Termination of appointment of director |https://opencorporates.com/statements/251691724|TM01|x
D|73585|0270273|251691728|MzAzMzQ4NDY3OGFkaXF6a2N4|2011-03-08|Appointment of director|Appointment of Mr Grant John Keys as a director||Appointment of director|https://opencorporates.com/statements/251691728|AP01|x
D|73585|0270273|251691726|MzAzMzQ4NDgzNmFkaXF6a2N4|2011-03-08|Appointment of director|Appointment of Mr Mario Daniel Rackham as a director||Appointment of director|https://opencorporates.com/statements/251691726|AP01|x
D|73585|0270273|251691730|MzAzMzQ4NDI4OGFkaXF6a2N4|2011-03-08|Appointment of director|Appointment of Mr Paul Cushing as a director||Appointment of director|https://opencorporates.com/statements/251691730|AP01|x
D|73585|0270273|251691734|MzAyODA4NTA2N2FkaXF6a2N4|2010-12-02|Appointment of director|Appointment of Mr Saul David Humphrey as a director||Appointment of director|https://opencorporates.com/statements/251691734|AP01|x
D|73585|0270273|251691737|MzAyMTg4Mzk0NmFkaXF6a2N4|2010-08-23|Filing dated 2010-08-23|Resolutions|||https://opencorporates.com/statements/251691737|RESOLUTIONS|x
D|73585|0270273|251691739|MzAyMTMxNzkyN2FkaXF6a2N4|2010-08-12|Annual Accounts|Accounts made up to 2009-12-31||Annual Accounts|https://opencorporates.com/statements/251691739|AA|x
D|73585|0270273|251691741|MzAxODA1Mjg2MGFkaXF6a2N4|2010-06-22|Termination of appointment of director |Termination of appointment of Roy Burton as a director||Termination of appointment of director |https://opencorporates.com/statements/251691741|TM01|x
D|73585|0270273|251691744|MzAxNTM5MzM0NWFkaXF6a2N4|2010-05-12|Annual Return|Annual return made up to 2010-04-17 with full list of shareholders||Annual Return|https://opencorporates.com/statements/251691744|AR01|x
D|73585|0270273|251691747|MzAwMTc1NTI3OGFkaXF6a2N4|2009-10-29|Change of director's details|Director's details changed for Robert George Russell Carter on 2009-10-01||Change of director's details|https://opencorporates.com/statements/251691747|CH01|x
D|73585|0270273|251691746|MzAwMTc1NTI4MmFkaXF6a2N4|2009-10-29|Change of director's details|Director's details changed for Roy Arthur Burton on 2009-10-01||Change of director's details|https://opencorporates.com/statements/251691746|CH01|x
D|73585|0270273|251691748|MzAwMTE2NDg0OGFkaXF6a2N4|2009-10-21|Change of director's details|Director's details changed for Christopher Snowling on 2009-10-01||Change of director's details|https://opencorporates.com/statements/251691748|CH01|x
D|73585|0270273|251691749|MzAwMTE2NDMxOGFkaXF6a2N4|2009-10-21|Change of secretary's details|Secretary's details changed for Gerald William Victor Daniels on 2009-10-01||Change of secretary's details|https://opencorporates.com/statements/251691749|CH03|x
D|73585|0270273|251691750|MjAzOTE5MTIyOGFkaXF6a2N4|2009-08-13|Annual Accounts|Accounts made up to 2008-12-31||Annual Accounts|https://opencorporates.com/statements/251691750|AA|x
