H|vendor_id|supplier_name|supplier_id|addr_line1|addr_line2|addr_line3|addr_post_town|addr_postcode|supplier_legal_form|close_date|open_date|accounts_category|accounts_next_due_date|dummy data
D|73092|03319463|PANKS ENGINEERS LTD.|THE OLD TANNERY|8 HEIGHAM STREET||NORWICH|NR2 4TE|Private Limited Company|17/02/1997||SMALL|31/12/2016|x
D|669699|02735963|BARDO (MIDLANDS) LIMITED|115 SPALDING ROAD|DEEPING ST JAMES||PETERBOROUGH|PE6 8SD|Private Limited Company|30/07/1992||TOTAL EXEMPTION SMALL|30/04/2017|x
D|308778|04273754|MORGAN SINDALL CONSTRUCTION & INFRASTRUCTURE LTD|KENT HOUSE|14-17 MARKET PLACE||LONDON|W1W 8AJ|Private Limited Company|20/08/2001||FULL|30/06/2016|x
D|171598|06650506|PROVINCE BUILDING SERVICES LTD|54 THORPE ROAD|||NORWICH|NR1 1RY|Private Limited Company|18/07/2008||TOTAL EXEMPTION SMALL|31/07/2016|x
D|180376|03141074|EOC SERVICES LIMITED|SOVEREIGN WAY|TRAFALGAR INDUSTRIAL ESTATE||DOWNHAM MARKET|PE38 9SW|Private Limited Company|22/12/1995||TOTAL EXEMPTION SMALL|30/09/2016|x
D|1072787|01279230|ESE DIRECT LIMITED|1 OTLEY ROAD|BAILDON||SHIPLEY|BD17 7LW|Private Limited Company|29/09/1976||TOTAL EXEMPTION SMALL|30/09/2016|x
D|172967|02476883|T & P FIRE LIMITED|8 HOPPER WAY|DISS BUSINESS PARK||DISS|IP22 4GT|Private Limited Company|05/03/1990||SMALL|31/01/2016|x
D|69738|02172956|THE HELPING HAND COMPANY (LEDBURY) LIMITED|UNIT 9|BROMYARD ROAD TRADING ESTATE||LEDBURY|HR8 1NS|Private Limited Company|01/10/1987||GROUP|31/03/2017|x
D|66071|02499491|ALPHEUS ENVIRONMENTAL LIMITED|LANCASTER HOUSE LANCASTER WAY|ERMINE BUSINESS PARK||HUNTINGDON|PE29 6XU|Private Limited Company|04/05/1990||FULL|31/12/2016|x
D|894798|06356761|HOLMES BUILDING CONTRACTORS LIMITED|CAMPION HOUSE|YARMOUTH BUSINESS PARK||SUFFOLK ROAD|NR31 0ER|Private Limited Company|30/08/2007||TOTAL EXEMPTION SMALL|30/09/2016|x
D|82404|08541605|DUTTON COMMUNICATIONS LIMITED|BANK CHAMBERS|MARKET PLACE||MELBOURNE|DE73 8DS|Private Limited Company|23/05/2013||TOTAL EXEMPTION SMALL|30/09/2016|x
D|555482|07271694|PJD LANDFILL SERVICES LIMITED|LOW MEADOW CHURCH STREET|HORSFORD||NORWICH|NR10 3DB|Private Limited Company|02/06/2010||TOTAL EXEMPTION SMALL|31/12/2016|x
D|74962|01219338|STIMPSON (HEATING ENGINEERS) LIMITED|UNIT 1 JUPITER RD|MILE CROSS LANE||NORWICH|NR6 6SU|Private Limited Company|15/07/1975||TOTAL EXEMPTION SMALL|31/12/2016|x
D||01006112|LEGAL AND GENERAL ASSURANCE (PENSIONS MANAGEMENT) LIMITED||ONE COLEMAN STREET||LONDON|EC2R 5AA|Private Limited Company|26/03/1971||FULL|30/09/2016|x
D|420270|03870728|UK POWER NETWORKS (OPERATIONS) LIMITED|NEWINGTON HOUSE|237 SOUTHWARK BRIDGE ROAD||LONDON|SE1 6NP|Private Limited Company|03/11/1999||FULL|31/12/2016|x
D|118126|03659610|CLEARWATER TECHNOLOGY LTD|4 MINSTER COURT|TUSCAM WAY||CAMBERLEY|GU15 3YY|Private Limited Company|30/10/1998||FULL|30/09/2016|x
D|192735|05373075|GARDEN LANDSCAPE SERVICES LTD|2 WILDERNESS COTTAGE, CHURCH|ROAD, WACTON||NORWICH|NR15 2UG|Private Limited Company|23/02/2005||TOTAL EXEMPTION FULL|31/01/2017|x
D|84846|04710460|MAS SERVICES (EAST ANGLIA) LIMITED|BROADLANDS MAIN ROAD|ROLLESBY||GREAT YARMOUTH|NR29 5EF|Private Limited Company|25/03/2003||TOTAL EXEMPTION SMALL|31/12/2016|x
D|1344786|02603505|BENCHMARK CONTRACTS LIMITED|MENTA BUSINESS CENTRE|5 EASTERN WAY||BURY ST EDMUNDS|IP32 7AB|Private Limited Company|19/04/1991||TOTAL EXEMPTION SMALL|29/02/2016|x
D|105581|02156869|G S D LAMBERT & SONS LIMITED|MORLEY HALL|LONDON ROAD||MORLEY ST PETER|NR18 9SY|Private Limited Company|25/08/1987||TOTAL EXEMPTION SMALL|31/07/2016|x
D|122575|01690818|MIDTHERM ENGINEERING LIMITED|STAFFORDSHIRE HOUSE 28 NEW ROAD|NETHERTON||DUDLEY|DY2 8TA|Private Limited Company|13/01/1983||TOTAL EXEMPTION SMALL|30/09/2016|x
D|76044|01006277|W S LUSHER & SON LIMITED|SCHOOL LANE|SPROWSTON||NORWICH|NR7 8TH|Private Limited Company|29/03/1971||SMALL|31/01/2016|x
D|Redacted|02124001|CUSTOM GROUP LIMITED|UNIT 8 THE ROPEWALK, STATION|ROAD, ILKESTON||DERBYSHIRE|DE7 5HX|Private Limited Company|16/04/1987||SMALL|28/02/2017|x
D|924777|04922158|AMR ELECTRICAL SERVICES LIMITED|49 CASTLE RISING ROAD|SOUTH WOOTTON||KINGS LYNN|PE30 3JA|Private Limited Company|06/10/2003||TOTAL EXEMPTION SMALL|31/07/2016|x
D||03169281|PARETO INVESTMENT MANAGEMENT LIMITED|BNY MELLON CENTRE|160 QUEEN VICTORIA STREET||LONDON|EC4V 4LA|Private Limited Company|07/03/1996||FULL|30/09/2016|x
D|93030|05092330|D. A. GRIGGS DECORATORS LIMITED|48 KING STREET|||KING'S LYNN|PE30 1HE|Private Limited Company|02/04/2004||TOTAL EXEMPTION SMALL|31/01/2017|x
D|172967|02476883|T & P FIRE LIMITED|8 HOPPER WAY|DISS BUSINESS PARK||DISS|IP22 4GT|Private Limited Company|05/03/1990||SMALL|31/01/2016|x
D|75121|04174504|T C GARRETT ROOFING LIMITED|HIGH VIEW CANTLEY LANE|CRINGLEFORD||NORWICH|NR4 6TF|Private Limited Company|07/03/2001||TOTAL EXEMPTION SMALL|30/04/2016|x
D|69227|02046840|G.W. GOOCH & SONS LIMITED|KIMBERLEY STREET|NORWICH||NORFOLK|NR2 2RJ|Private Limited Company|14/08/1986||TOTAL EXEMPTION SMALL|30/09/2016|x
D|198375|01952517|TYCO FIRE & INTEGRATED SOLUTIONS (UK) LIMITED|TYCO PARK|GRIMSHAW LANE||NEWTON HEATH|M40 2WL|Private Limited Company|03/10/1985||FULL|30/06/2016|x
D|138956|03501184|BROADLAND GROUP LIMITED|54 THORPE ROAD|NORWICH||NORFOLK|NR1 1RY|Private Limited Company|23/01/1998||TOTAL EXEMPTION SMALL|31/12/2016|x
D|69227|02046840|G.W. GOOCH & SONS LIMITED|KIMBERLEY STREET|NORWICH||NORFOLK|NR2 2RJ|Private Limited Company|14/08/1986||TOTAL EXEMPTION SMALL|30/09/2016|x
D|179148|02888808|NORSE COMMERCIAL SERVICES LIMITED|LANCASTER HOUSE|16 CENTRAL AVENUE||ST ANDREWS BUSINESS PARK|NR7 0HR|Private Limited Company|18/01/1994||GROUP|31/12/2016|x
D|135770|02067190|DEMCO EUROPE LIMITED|GRANGE HOUSE|GEDDINGS ROAD||HODDESDON|EN11 0NT|Private Limited Company|24/10/1986||AUDIT EXEMPTION SUBSIDIARY|30/09/2016|x
D|284255|02635007|IMTECH AQUA MAINTENANCE LTD|3100 PARK SQUARE SOLIHULL PARKWAY|BIRMINGHAM BUSINESS PARK||BIRMINGHAM|B37 7YN|Private Limited Company|05/08/1991||FULL|30/09/2016|x
D|81152|01800000|BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY|81 NEWGATE STREET|LONDON|||EC1A 7AJ|Public Limited Company|01/04/1984||GROUP|30/09/2016|x
D|692707|03132937|KAEFER LIMITED|63 PORTLAND STREET|MANSFIELD WOODHOUSE||MANSFIELD|NG19 8BG|Private Limited Company|01/12/1995||GROUP|30/09/2016|x
D|198375|01952517|TYCO FIRE & INTEGRATED SOLUTIONS (UK) LIMITED|TYCO PARK|GRIMSHAW LANE||NEWTON HEATH|M40 2WL|Private Limited Company|03/10/1985||FULL|30/06/2016|x
